8.3	0.61	0.3	2.1	0.084	11	50	0.9972	3.4	0.61	10.2
7.8	0.5	0.3	1.9	0.075	8	22	0.9959	3.31	0.56	10.4
8.1	0.545	0.18	1.9	0.08	13	35	0.9972	3.3	0.59	9
8.1	0.575	0.22	2.1	0.077	12	65	0.9967	3.29	0.51	9.2
7.2	0.49	0.24	2.2	0.07	5	36	0.996	3.33	0.48	9.4
8.1	0.575	0.22	2.1	0.077	12	65	0.9967	3.29	0.51	9.2
7.8	0.41	0.68	1.7	0.467	18	69	0.9973	3.08	1.31	9.3
6.2	0.63	0.31	1.7	0.088	15	64	0.9969	3.46	0.79	9.3
8	0.33	0.53	2.5	0.091	18	80	0.9976	3.37	0.8	9.6
8.1	0.785	0.52	2	0.122	37	153	0.9969	3.21	0.69	9.3
7.8	0.56	0.19	1.8	0.104	12	47	0.9964	3.19	0.93	9.5
8.4	0.62	0.09	2.2	0.084	11	108	0.9964	3.15	0.66	9.8
8.4	0.6	0.1	2.2	0.085	14	111	0.9964	3.15	0.66	9.8
10.1	0.31	0.44	2.3	0.08	22	46	0.9988	3.32	0.67	9.7
7.8	0.56	0.19	1.8	0.104	12	47	0.9964	3.19	0.93	9.5
9.4	0.4	0.31	2.2	0.09	13	62	0.9966	3.07	0.63	10.5
8.3	0.54	0.28	1.9	0.077	11	40	0.9978	3.39	0.61	10
7.8	0.56	0.12	2	0.082	7	28	0.997	3.37	0.5	9.4
8.8	0.55	0.04	2.2	0.119	14	56	0.9962	3.21	0.6	10.9
7	0.69	0.08	1.8	0.097	22	89	0.9959	3.34	0.54	9.2
7.3	1.07	0.09	1.7	0.178	10	89	0.9962	3.3	0.57	9
8.8	0.55	0.04	2.2	0.119	14	56	0.9962	3.21	0.6	10.9
7.3	0.695	0	2.5	0.075	3	13	0.998	3.49	0.52	9.2
8	0.71	0	2.6	0.08	11	34	0.9976	3.44	0.53	9.5
7.8	0.5	0.17	1.6	0.082	21	102	0.996	3.39	0.48	9.5
9	0.62	0.04	1.9	0.146	27	90	0.9984	3.16	0.7	9.4
8.2	1.33	0	1.7	0.081	3	12	0.9964	3.53	0.49	10.9
8.1	1.33	0	1.8	0.082	3	12	0.9964	3.54	0.48	10.9
8	0.59	0.16	1.8	0.065	3	16	0.9962	3.42	0.92	10.5
6.1	0.38	0.15	1.8	0.072	6	19	0.9955	3.42	0.57	9.4
8	0.745	0.56	2	0.118	30	134	0.9968	3.24	0.66	9.4
5.6	0.5	0.09	2.3	0.049	17	99	0.9937	3.63	0.63	13
5.6	0.5	0.09	2.3	0.049	17	99	0.9937	3.63	0.63	13
6.6	0.5	0.01	1.5	0.06	17	26	0.9952	3.4	0.58	9.8
7.9	1.04	0.05	2.2	0.084	13	29	0.9959	3.22	0.55	9.9
8.4	0.745	0.11	1.9	0.09	16	63	0.9965	3.19	0.82	9.6
8.3	0.715	0.15	1.8	0.089	10	52	0.9968	3.23	0.77	9.5
7.2	0.415	0.36	2	0.081	13	45	0.9972	3.48	0.64	9.2
7.8	0.56	0.19	2.1	0.081	15	105	0.9962	3.33	0.54	9.5
7.8	0.56	0.19	2	0.081	17	108	0.9962	3.32	0.54	9.5
8.4	0.745	0.11	1.9	0.09	16	63	0.9965	3.19	0.82	9.6
8.3	0.715	0.15	1.8	0.089	10	52	0.9968	3.23	0.77	9.5
5.2	0.34	0	1.8	0.05	27	63	0.9916	3.68	0.79	14
6.3	0.39	0.08	1.7	0.066	3	20	0.9954	3.34	0.58	9.4
5.2	0.34	0	1.8	0.05	27	63	0.9916	3.68	0.79	14
8.1	0.67	0.55	1.8	0.117	32	141	0.9968	3.17	0.62	9.4
5.8	0.68	0.02	1.8	0.087	21	94	0.9944	3.54	0.52	10
7.6	0.49	0.26	1.6	0.236	10	88	0.9968	3.11	0.8	9.3
6.9	0.49	0.1	2.3	0.074	12	30	0.9959	3.42	0.58	10.2
8.2	0.4	0.44	2.8	0.089	11	43	0.9975	3.53	0.61	10.5
7.3	0.33	0.47	2.1	0.077	5	11	0.9958	3.33	0.53	10.3
9.2	0.52	1	3.4	0.61	32	69	0.9996	2.74	2	9.4
7.5	0.6	0.03	1.8	0.095	25	99	0.995	3.35	0.54	10.1
7.5	0.6	0.03	1.8	0.095	25	99	0.995	3.35	0.54	10.1
7.1	0.43	0.42	5.5	0.07	29	129	0.9973	3.42	0.72	10.5
7.1	0.43	0.42	5.5	0.071	28	128	0.9973	3.42	0.71	10.5
7.1	0.43	0.42	5.5	0.07	29	129	0.9973	3.42	0.72	10.5
7.1	0.43	0.42	5.5	0.071	28	128	0.9973	3.42	0.71	10.5
7.1	0.68	0	2.2	0.073	12	22	0.9969	3.48	0.5	9.3
6.8	0.6	0.18	1.9	0.079	18	86	0.9968	3.59	0.57	9.3
7.6	0.95	0.03	2	0.09	7	20	0.9959	3.2	0.56	9.6
7.6	0.68	0.02	1.3	0.072	9	20	0.9965	3.17	1.08	9.2
7.8	0.53	0.04	1.7	0.076	17	31	0.9964	3.33	0.56	10
7.4	0.6	0.26	7.3	0.07	36	121	0.9982	3.37	0.49	9.4
7.3	0.59	0.26	7.2	0.07	35	121	0.9981	3.37	0.49	9.4
7.8	0.63	0.48	1.7	0.1	14	96	0.9961	3.19	0.62	9.5
6.8	0.64	0.1	2.1	0.085	18	101	0.9956	3.34	0.52	10.2
7.3	0.55	0.03	1.6	0.072	17	42	0.9956	3.37	0.48	9
6.8	0.63	0.07	2.1	0.089	11	44	0.9953	3.47	0.55	10.4
7.5	0.705	0.24	1.8	0.36	15	63	0.9964	3	1.59	9.5
7.9	0.885	0.03	1.8	0.058	4	8	0.9972	3.36	0.33	9.1
8	0.42	0.17	2	0.073	6	18	0.9972	3.29	0.61	9.2
8	0.42	0.17	2	0.073	6	18	0.9972	3.29	0.61	9.2
7.4	0.62	0.05	1.9	0.068	24	42	0.9961	3.42	0.57	11.5
7.3	0.38	0.21	2	0.08	7	35	0.9961	3.33	0.47	9.5
6.9	0.5	0.04	1.5	0.085	19	49	0.9958	3.35	0.78	9.5
7.3	0.38	0.21	2	0.08	7	35	0.9961	3.33	0.47	9.5
7.5	0.52	0.42	2.3	0.087	8	38	0.9972	3.58	0.61	10.5
7	0.805	0	2.5	0.068	7	20	0.9969	3.48	0.56	9.6
8.8	0.61	0.14	2.4	0.067	10	42	0.9969	3.19	0.59	9.5
8.8	0.61	0.14	2.4	0.067	10	42	0.9969	3.19	0.59	9.5
8.9	0.61	0.49	2	0.27	23	110	0.9972	3.12	1.02	9.3
7.2	0.73	0.02	2.5	0.076	16	42	0.9972	3.44	0.52	9.3
6.8	0.61	0.2	1.8	0.077	11	65	0.9971	3.54	0.58	9.3
6.7	0.62	0.21	1.9	0.079	8	62	0.997	3.52	0.58	9.3
8.9	0.31	0.57	2	0.111	26	85	0.9971	3.26	0.53	9.7
7.4	0.39	0.48	2	0.082	14	67	0.9972	3.34	0.55	9.2
7.7	0.705	0.1	2.6	0.084	9	26	0.9976	3.39	0.49	9.7
7.9	0.5	0.33	2	0.084	15	143	0.9968	3.2	0.55	9.5
7.9	0.49	0.32	1.9	0.082	17	144	0.9968	3.2	0.55	9.5
8.2	0.5	0.35	2.9	0.077	21	127	0.9976	3.23	0.62	9.4
6.4	0.37	0.25	1.9	0.074	21	49	0.9974	3.57	0.62	9.8
6.8	0.63	0.12	3.8	0.099	16	126	0.9969	3.28	0.61	9.5
7.6	0.55	0.21	2.2	0.071	7	28	0.9964	3.28	0.55	9.7
7.6	0.55	0.21	2.2	0.071	7	28	0.9964	3.28	0.55	9.7
7.8	0.59	0.33	2	0.074	24	120	0.9968	3.25	0.54	9.4
7.3	0.58	0.3	2.4	0.074	15	55	0.9968	3.46	0.59	10.2
11.5	0.3	0.6	2	0.067	12	27	0.9981	3.11	0.97	10.1
5.4	0.835	0.08	1.2	0.046	13	93	0.9924	3.57	0.85	13
6.9	1.09	0.06	2.1	0.061	12	31	0.9948	3.51	0.43	11.4
